, Numbers,Frequency
8,***,172
1,168,25
9,135,25
11,569,23
31,136,22
24,589,22
96,134,22
51,469,21
147,780,21
92,260,21
75,689,21
40,680,20
21,367,20
2,368,20
60,578,20
56,579,20
6,179,19
13,345,19
49,127,19
156,678,19
5,479,19
99,270,19
86,245,19
65,138,18
111,158,18
105,159,18
16,148,18
162,267,18
107,259,17
113,167,17
124,568,17
54,146,17
129,178,17
152,278,17
45,679,17
172,590,17
3,139,17
22,128,17
20,890,17
23,357,17
7,123,16
37,356,16
195,157,16
19,379,16
46,468,16
26,567,16
125,480,16
69,248,16
15,580,16
90,279,16
17,249,16
25,145,16
18,137,15
82,290,15
76,125,15
27,160,15
154,124,15
102,467,15
42,256,15
101,126,15
159,180,15
100,478,14
110,690,14
116,246,14
70,359,14
78,147,14
151,169,14
84,350,14
181,189,14
12,789,14
201,120,14
52,790,14
137,140,14
140,459,14
85,237,13
87,240,13
36,559,13
72,570,13
145,235,13
35,670,13
180,236,13
43,380,13
47,490,13
157,456,13
50,130,13
142,349,13
131,788,13
127,348,13
123,238,12
163,347,12
130,358,12
126,170,12
179,346,12
171,566,12
98,150,12
104,457,12
63,340,12
77,390,12
58,289,12
68,389,12
57,560,12
61,257,11
122,450,11
120,234,11
150,699,11
115,280,11
29,360,11
95,338,11
73,250,11
39,458,11
93,470,11
194,149,11
118,370,10
28,557,10
91,499,10
41,156,10
34,770,10
30,247,10
148,489,10
158,460,10
74,600,10
182,378,10
10,115,10
153,239,9
161,224,9
44,449,9
62,227,9
55,778,9
141,330,9
136,229,9
134,299,9
128,268,9
67,129,9
83,369,9
81,448,9
79,190,9
71,556,9
0,255,9
138,599,8
191,446,8
174,269,8
133,116,8
48,466,8
178,880,8
186,500,8
135,990,8
64,177,8
114,228,8
168,400,8
203,669,8
170,300,8
89,377,8
146,277,8
132,100,7
109,266,7
121,455,7
184,144,7
167,334,7
53,188,7
196,447,7
33,668,7
94,488,7
38,700,7
197,117,7
175,577,6
208,399,6
204,388,6
183,110,6
188,558,6
185,122,6
199,366,6
200,588,6
193,113,6
103,114,6
207,889,6
59,477,6
97,226,6
117,899,6
88,,6
139,355,6
112,660,6
164,339,6
160,233,5
155,200,5
149,779,5
206,118,5
165,688,5
66,288,5
80,230,5
14,258,5
169,667,5
4,244,5
176,112,5
202,445,5
173,900,4
192,155,4
189,344,4
143,337,4
166,335,4
177,220,4
119,336,3
209,133,3
32,440,3
213,166,3
190,223,3
215,677,2
216,799,2
205,225,2
198,199,2
106,800,2
187,498,1
210,9,1
211,666,1
212,444,1
144,*2**,1
214,000,1
108,119,1
